Period,Interest Rate,Limit for Investment
01.04.1968 to 31.03.1969,4.8,15000
01.04.1969 to 31.03.1970,4.8,15000
01.04.1970 to 31.03.1971,5,15000
01.04.1971 to 31.03.1972,5,15000
01.04.1972 to 31.03.1973,5,20000
01.04.1973 to 31.03.1974,5.3,20000
01.04.1974 to 31.07.1974,5.8,20000
01.08.1974 to 31.03.1975,7,20000
01.04.1975 to 31.03.1976,7,20000
01.04.1976 to 31.03.1977,7,20000
01.04.1977 to 31.03.1978,7.5,20000
01.04.1978 to 31.03.1979,7.5,30000
01.04.1979 to 31.03.1980,7.5,30000
01.04.1980 to 31.03.1981,8,30000
01.04.1981 to 31.03.1982,8.5,30000
01.04.1982 to 31.03.1983,8.5,40000
01.04.1983 to 31.03.1984,9,40000
01.04.1984 to 31.03.1985,9.5,40000
01.04.1985 to 31.03.1986,10,40000
01.04.1986 to 31.03.1988,12,40000
01.04.1988 to 31.03.1999,12,60000
01.04.1999 to 14.01.2000,12,60000
15.01.2000 to 28.02.2001,11,60000
01.03.2001 to 28.02.2002,9.5,60000
01.03.2002 to 31.03.2002,9,60000
01.04.2002 to 28.02.2003,9,70000
01.03.2003 to 31.03.2011,8,70000
01.04.2011 to 30.11.2011,8,100000
01.12.2011 to 31.03.2012,8.6,100000
01.04.2012 to 31.03.2013,8.8,100000
01.04.2013 to 31.03.2014,8.7,100000
01.04.2014 to 31.03.2016,8.7,150000
01.04.2016 to 30.09.2016,8.1,150000
01.10.2016 to 31.03.2017,8,150000
01.04.2017 to 30.06.2017,7.9,150000
01.07.2017 to 30.09.2017,7.8,150000
01.01.2018 to 30.09.2018,7.6,150000
01.10.2018 to 30.06.2019,8,150000
01.07.2019 to 31.03.2020,7.9,150000
01.04.2020 to 30.09.2020,7.1,150000
01.10.2022 to 31.12.2022,7.1,150000
01.01.2023 to 31.03.2023,7.1,150000
